,mean_mfccs,mean_chroma_stft,tempo,pulse,flatness,contrast,zero_crossing,blues,classical,country,disco,hiphop,jazz,metal,pop,reggae,rock
172,-1.6054439767827353,-1.2163617301081853,-0.17438304651540126,-1.682242944705214,0.0017351321876049044,0.2201988582378114,-0.9545886347971113,0,1,0,0,0,0,0,0,0,0
588,-0.146708625566747,-1.0741007909214,0.38768673352119604,0.9534043061609462,0.012794668786227705,-0.2017755171934477,-0.8281378729135437,0,0,0,0,0,1,0,0,0,0
756,0.8066602349609865,1.1539775708733382,-1.531103205224428,-0.9914674228359468,0.060726795345544815,-0.9675278187725929,1.000437552498332,0,0,0,0,0,0,0,1,0,0
649,1.441293550054091,1.7851130078644273,-1.0391057850332424,-0.5956675139342081,0.02750241756439209,-0.10326252567109592,2.1597799870570897,0,0,0,0,0,0,1,0,0,0
287,-0.4490271659085344,-0.6144450701383773,1.0746609091214812,-0.1251017342693189,0.002714303787797689,2.156654661681407,-0.7090829473170321,0,0,1,0,0,0,0,0,0,0
383,-0.17227202169684894,0.4337727621061552,-0.17438304651540126,0.775780684148764,0.007152690086513758,-0.07945401983521332,-0.32716917690349523,0,0,0,1,0,0,0,0,0,0
878,0.15766667276906907,0.9069370353180768,1.9333786286218375,-0.4212914430995615,0.022689267992973328,-0.6989087411027153,-0.2377697509555693,0,0,0,0,0,0,0,0,1,0
463,-0.11281998104076948,0.8189256193851677,-1.2152530095461358,1.033856787692841,0.052851684391498566,-1.0261648341183869,0.4436573504586461,0,0,0,0,1,0,0,0,0,0
574,-0.5318433438721698,-1.0260946304013054,-1.8061985369442304,-0.9148260689498303,0.0207850243896246,0.16580847828234327,-0.19469351423974054,0,0,0,0,0,1,0,0,0,0
236,-2.232661992793157,-0.4158493508201858,-0.4187612117487038,-0.7261517681309532,0.008381313644349575,0.7529706687129947,-0.44846089201121403,0,0,1,0,0,0,0,0,0,0
900,0.06873036166894697,0.10892703727075526,0.0932692296925024,-0.5416910941297283,0.006142711732536554,0.3757654792171875,-0.3207474263713198,0,0,0,0,0,0,0,0,0,1
867,0.717724820165463,0.21295632069905027,1.9333786286218375,1.679395594534082,0.00981161929666996,-1.1911625152094603,-1.0334174264420743,0,0,0,0,0,0,0,0,1,0
795,0.9602676059573337,-0.1567224270032881,-0.8488667825593171,0.5810859738265078,0.037135131657123566,-0.8179797399907204,0.06549561406390841,0,0,0,0,0,0,0,1,0,0
