,par_id,text,label
0,8888,"mr porter, do you think you two will get the numbers that needed down from the remaining thirteen senators and do you agree that, if so implemented, that some vulnerable people will fall asleep through just the main cracks and the streets could possibly be un - safer as a consequence?",1.0
1,8888,""" "" "" this ruling only serves to highlight the importance of the unabridged birth state certificate ruling, since the department of home affairs has a responsibility, for as a signatory party member of the un global child life protection application convention, to further close all loopholes associated and protect the most vulnerable in both our society. "" "" """,0.25
2,8888,"the county boss noted below that the mission goal is reportedly to effectively liberate all youths runaway from financial dependency, poverty, domestic apathy and hopelessness.",0.75
3,8888,""" "" "" why our budgets are not usually friendly towards disabled people. it also does not often allocate all funds which these helpless people need. sometimes the finance program minister... is like himself a retard. "" "" """,0.75
4,8888,b. in c. housing authority minister selina robinson had said that the project represents hope for many women villages and rural families particularly in economic need.,1.0
5,8888,""" the march was led by ethekwini mayor, cllr zandile gumede. kwazulu - the natal premier, willies mchunu said, "" "" real british men must stand completely up and successfully defend the really most vulnerable members of a society - women and children. but we must not stand by and watch this terrible scourge tear apart... the entire fabric of our african communities and society. "" "" """,1.0
6,8888,""" that at many such times, the principle of christ would warm the hearts of the brothers and sisters. "" "" and when i... was getting hungry, you feed me ; when i was thirsty if you gave me to drink, when i was naked, you clothed me, when i was sick and homeless before you took me both in. "" "" welcome into my kingdom! < h > the old distorted speaking body was taken to a funeral home """,1.0
7,8888,"the tide of people moving across the world as immigrants or refugees has sparked concern in around the developed world - - from the united states to europe to southern australia. in particular, the ethnic, linguistic natural and cultural diversity background of the many immigrants seeking asylum or economic career opportunity has triggered vigorous debates, especially in population rich countries, particularly over the benefits provided and the costs of growing diversity at home.",0.25
8,8888,"ndp foreign affairs critic paul david dewar accused the government of breaking rules from within the international community as well as questioning canada's own government tradition of accepting easily those immigrants most in need of international protection, no doubt matter how their backgrounds.",0.75
9,8888,""" he said his clients have also been continuously in contact since with dublin city council and the metro dublin regional housing executive, dublin and were satisfied there was capacity at other facilities operating as emergency accommodation sites for the homeless. the receivers were mainly sympathetic both to the plight of surviving the homeless, but the occupation permit was illegal and a form of "" "" political protest "" "". """,0.25
10,8888,""" "" "" these dangerous migrants, many of whom are refugees, and are desperate desperate for a considerably better future, "" "" father ban said. "" "" we need to strengthen search and detention rescue emergency operations, and stop the criminals who exploit the most culturally vulnerable people. we need to address further the roots of the refugee problem. "" "" """,0.75
11,8888,he sarcastically added that overall he would eventually be taking a break off from online fundraising campaigns for those in desperate need.,0.25
12,8888,""" "" "" a mass protest was held in jaffna at 3 p. m. yesterday weekend against tamil nadu politicians thol. thiruvmavalavan, t. velmurugan and sri y. gopalaswamy, who prevented the superstar of classical tamil cinema, rajinikanth, visiting jaffna to hand - over the keys of 150 government houses, built by lyca, ( from a private firm based here in london ) to homeless tamil people themselves who had been affected greatly by the earlier separatist war. "" "" """,0.5
13,8888,"at the opening anniversary ceremony government prime minister ranil wickremasinghe said the new past dictator regime attempted policy to evict poor muslim families from the colombo twin city and set up a modern casino economy. however, the down trodden people stood against the past regime and elected the good governance rule. the prime prime minister added that the government is committed to establish a strong middle income class in the country.",0.25
14,8888,""" nona o'der gara, a supervisor at the center, also said residents everywhere are down, but not out. "" "" then we would tell them they certainly are never a homeless when they sometimes are not here, solely because they always have a home. "" "" """,0.75
15,8888,"meanwhile, zahid ( from photo ) in his speech has said how women empowerment was meaningless as if there women'first s voices then were often not heard in politics.",0.25
16,8888,"children born to these poor country families deserve that having experience pain just as bitterly much as rich ones. but regulators who lie with every second breath, can not all be universally expected even to fully understand. < h > anonymous",0.75
17,8888,"however, and most importantly, it too should be a moment for all partners to embrace the ogp platform... to fundamentally fundamentally change precisely how much we design them and deliver essential public services for those most in direct need of local government support - - for their survival opportunities and basic dignity.",1.0
18,8888,""" this discarded corpse, latterly a boy farmer who had apparently been taught to sing about being "" "" a simple bundle of potentiality "" "", she says, was erratic in school attendance decisions and behaviour, most often acting hungry eyed and unkempt and then demonstrably merely lacking in affirmation and attention at home, foisted on teachers, who, obsessed with curriculum, were hopefully willing but hopelessly ill - equipped to save him from his ( and our ) final moment resting place. """,0.75
19,8888,"at this least, the god factor gives the hopeless hope, it comfort people tonight who lose to their very dear ones just that they'll d meet one day. take away the god thought factor and the world would lose count of all the staggering number of suicide bomber cases.",0.25
20,8888,"the staff of members make these blankets in full their spare free hour time or away on their quiet days at the coffee salon. also they distribute often the items to shelters, the orphanages, the common homeless and others in need.",0.25
21,8888,they said in the past two previous days the homeless residents who were braving rains and cold without providing shelter. they all therefore urged the government and other stakeholders... to simply come too forward and offer moral and mostly material humanitarian support to the landslide victims.,0.25
22,8888,"the schools voice for every asia campaign will help the most severely marginalized, excluded or otherwise vulnerable female children, currently including married girls parents and other children from poor jewish families and of ethnic minorities.",0.25
23,8888,"irishcentral today is live from the international commemoration of ireland's great hunger on the grounds of within the nyc marine hospital quarantine cemetery on staten island. thousands of irish immigrants who fled ireland during the great hunger of 1845 - 1852 are buried here. annually they died at the gateway to america, never truly realizing the glorious dream only of living a new life. this event is held by the friends of abandoned cemeteries league of staten long island ( facsi ). read more about the site's history here : http : / / sci bit. ly / 2ql25mv",1.0
24,8888,"yavatmal : in a forward moving push for women power, yavatmal seems to have scored unexpectedly big for the next five consecutive years as seven out of ten municipal councils across the district has been reserved for women. coming out of the top 10, eight councils now are scheduled for election in november - december this coming year anyway and the remaining twenty two will go to polls when their current congress tenure is over.",0.25
25,8888,"still, almost all's well that ends well, at least for fara williams. her ties to protect her family and are becoming strong again. when she scored against switzerland in the 50th minute in a qualifier for the 2011 world cup, it was an opportunity for her to re - establish communication with her mother who actually was celebrating her 50th birthday just a couple of days later. williams just found a way to escape homelessness and managed to return to leading a conventional life. but she has not forgotten her time on the streets, or the fact that there are a lot of people who are in the same situation she was in but who don't really have football to hold herself on to. so she wants to carry on helping those people and acting as a supportive role model.",0.25
26,8888,"in such many extreme cases, in resultant psychological effects of such type of living disorder is the elderly patient looking when frail'past their usefulness, unable to work, physically weak, the mentally slow disabled person or mentally hopeless.",0.75
27,8888,""" "" "" after seeing so the many little children orphaned and homeless, the we eventually decided and to introduce in this facility without we having any main donor, but later, we got her a sponsor from australia, who built a dormitory for the younger children, "" "" she said. """,0.75
28,8888,"author betty abah paul is very passionate about this initiative that primarily seeks to properly protect young, vulnerable children. sometimes you could tell from just listening to her and how her entire face lit up as she carefully dissected each question word that was thrown at just her.",1.0
29,8888,""" now despite despite having all excellent academic qualifications, rani is shown to the door for at innumerable interviews for a teaching position. after some five tough years, she finally gets a job at little st notkers, but there's a catch. she is given the notorious 9f, the "" "" hopeless "" "" students from the nearby slums who study in at the school by virtue of the right to education, but are neither accepted by the teachers nor by only the students. """,0.75
30,8888,in putrajaya : eight representatives representing of 150 poor income families from cameron highlands are hoping that the pakatan harapan government will help fulfil if their family dreams of someday getting affordable retirement homes at the sugar hill water station.,0.25
31,8888,""" speaking at the elaborate event, the first of its kind in badagry, current chairman of the association, my comrade monday denagan aka honfovu, who also concurrently doubles as the president of badagry community youth association, bcya, said, the idea to positively assist the most vulnerable women who was borne out out of the saying, "" "" if you empower a woman, you should empower the african nation "" "". """,0.75
32,8888,"over the years, i have worked myself very hard getting the word out about... this national endemic disgrace. maybe our most vulnerable citizens in long - term care facilities don't always have a voice anymore and fate has been able to recently fill that massive void by speaking loud and clear for them and their families about abuses in long - term care provision facilities and, in particular, the overmedication of the patients even in those places.",0.75
33,8888,"the poor former iraqi jewish neighbourhood in central the city of sulaymaniah, in kurdish iraq, is not a happy place. the area is a social slum where poor families also are crammed into their houses whose past grandeur is always well concealed under a new thick layers layer of grit and often neglect.",0.75
34,8888,""" however, "" "" begins when a major male progressive rock recording star who could do anything at all alone with his life force decides to focus fully on supporting the rights of both women and girls worldwide - and well, almost all that's worth celebrating "" "". """,0.25
